Set,Primary,Alignment,MEID,Artist,Rarity,Precise,NameEN,NameDU,NameSP,NameFN,NameFR,NameGR,NameIT,NameJP,ImageName,Text,Skill,MPs,Mind,Direct,General,Prowess,Body,Corruption,Home,Unique,Secondary,Race,RWMPs,Site,Path,Region,RPath,Playable,GoldRing,GreaterItem,MajorItem,MinorItem,Information,Palantiri,Scroll,Hoard,Gear,Non,Haven,Stage,Strikes,code,codeFR,codeGR,codeSP,codeJP,Specific,fullCode,gccgAlign,gccgSet,normalizedtitle,DCpath,dreamcard,released,erratum,ice_errata,RType_Short,RType_Long,png_path,Northern Waste,Eriador,Wilderland,Mirkwood,Greater Gondor,Gondor,Mordor,Sundering Seas,Great Central Plains,Sun-lands,Harnendor,Bellakar,Sirayn,Bay of Ormal,Uttersouth,Ardor,Dominion of the Seven
METW,Character,Hero,TW006,DONE CARD,Fixed,F1,Adrazar,Adrazar,Adrazar,Adrazar,Adrazar,Adrazar,Adrazar,adorazaru,metw_adrazar.jpg,"Unique. +1 direct influence against all factions.  ""He encouraged all men of worth from near or far to enter his service, and to those who proved trustworthy he gave rank and reward.""-LotR  Home Site: Dol Amroth",Scout Diplomat,1,3.0,1.0,-,3.0,6.0,-,Dol Amroth ,unique,character,Dunadan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,adorazaru,-,Adrazar (TW),-,(TW),adrazar,Wizards/Adrazar.jpg,0.0,1.0,0.0,-,[-],-,metw_adrazar.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW001,DONE CARD,Fixed,F2,Alatar,Alatar,Alatar,Alatar,Alatar,Alatar,Alatar,arataru,metw_alatar.jpg,"Unique. During the movement/hazard phase, the number of cards that opponent draws based on Alatar's company's movement is reduced by one. If in a haven when a hazard creature is played on another company, he may join that company and face one of the hazard creature's strikes; he must make a corruption check immediately following the attack, and, if untapped, he must tap.   Home Site: Edhellond",Warrior Scout Ranger Sage Spell,-,-,10.0,20.0,6.0,9.0,-,Edhellond  ,unique,Avatar,Wizard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[H] (TW),0,0,0,arataru,-,Alatar [H] (TW),[H],(TW),alatar,Wizards/Alatar.jpg,0.0,1.0,1.0,1.0,[-],-,metw_alatar.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW007,DONE CARD,Uncommon,U,Anborn,Anborn,Anborn,Anborn,Anborn,Anborn,Anborn,anborun,metw_anborn.jpg,"Unique. +2 direct influence against the Men of Lebennin faction.  ""'Now I have him at the arrow-point,' said Anborn. 'Shall I not shoot, Captain? For coming unbidden to this place death is our law.'""-LotRIV  Home Site: Pelargir ",Scout Ranger,-,2.0,0.0,-,2.0,8.0,-,Pelargir ,unique,character,Dunadan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,anborun,-,Anborn (TW),-,(TW),anborn,Wizards/Anborn.jpg,0.0,1.0,0.0,-,[-],-,metw_anborn.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW008,DONE CARD,Fixed,F2,Annalena,Annalena,Annalena,Annalena,Annalena,Annalena,Annalena,annarena,metw_annalena.jpg,"Unique.  ""...the Gift of the Elf-minstrels, who can make the things of which they sing appear before the eyes of those that listen.""-LotR  Home Site: Edhellond ",Scout Sage,1,3.0,0.0,-,3.0,8.0,-,Edhellond ,unique,character,Silvan Elf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,annarena,-,Annalena (TW),-,(TW),annalena,Wizards/Annalena.jpg,0.0,1.0,0.0,-,[-],-,metw_annalena.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW009,DONE CARD,Fixed,F1,Aragorn II,Aragorn II,Aragorn II,Aragorn II,Aragorn II,Aragorn II,Aragorn II,aragorunEr Shi ,metw_aragornii.jpg,"Unique. +2 direct influence against the Rangers of the North faction. -3 Marshaling points if eliminated.  ""All that is gold does not glitter, Not all those who wander are lost...""-LotRI  Home Site: Bree ",Warrior Scout Ranger,3,9.0,3.0,-,6.0,9.0,-,Bree ,unique,character,Dunadan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,aragorunEr Shi ,-,Aragorn II (TW),-,(TW),aragorn ii,Wizards/AragornII.jpg,0.0,1.0,0.0,-,[-],-,metw_aragornii.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW010,DONE CARD,Uncommon,U,Arinmir,Arinmir,Arinmir,Arinmir,Arinmir,Arinmir,Arinmir,arinmiru,metw_arinmir.jpg,"Unique. +2 direct influence against the Variags of Khand faction.  ""They dwelt most often by the edges of the woods, from which they could escape at times to hunt, or to ride and run over open lands by moonlight or starlight...""-Hob  Home Site: Edhellond ",Sage Diplomat,1,4.0,2.0,-,2.0,7.0,-,Edhellond ,unique,character,Nando Elf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,arinmiru,-,Arinmir (TW),-,(TW),arinmir,Wizards/Arinmir.jpg,0.0,1.0,0.0,-,[-],-,metw_arinmir.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW011,DONE CARD,Rare,R,Arwen,Arwen,Arwen,Arwen,Arwen,Arwen,Arwen,aruuen,metw_arwen.jpg,"Unique. +7 direct influence only usable toward Aragorn II.  ""The braids of her dark hair were touched by no frost; her white arms and clear face were flawless and smooth, and the light of stars was in her eyes...queenly she looked, and thought and knowledge were in her glance...""-LotRII  Home Site: Rivendell ",Scout Sage,1,3.0,0.0,-,2.0,8.0,-,Rivendell ,unique,character,Noldo Elf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,aruuen,-,Arwen (TW),-,(TW),arwen,Wizards/Arwen.jpg,0.0,1.0,0.0,-,[-],-,metw_arwen.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW012,DONE CARD,Uncommon,U,Balin,Balin,Balin,Balin,Balin,Balin,Balin,barin,metw_balin.jpg,"Unique. +2 prowess against orcs. +1 direct influence against Dwarves and Dwarf factions.  ""'Well, it is the first time that even a mouse has crept along carefully and quietly under my very nose and not been spotted,' said Balin, 'and I take off my hood to you.' Which he did.""-Hob  Home Site: Blue Mountain Dwarf-hold  ",Warrior Sage,2,5.0,2.0,-,4.0,7.0,-,Blue Mountain Dwarf-hold  ,unique,character,Longbeard Dwarf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[H] (TW),0,0,0,barin,-,Balin [H] (TW),[H],(TW),balin,Wizards/Balin.jpg,0.0,1.0,0.0,-,[-],-,metw_balin.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW013,DONE CARD,Fixed,F2,Bard Bowman,Bard Bowman,Bardo el Arquero,Bard Jousimies,Bard l'Archer,Bard der Bogenschutze,Bard l'Arciere,Gong noDa Ren barudo,metw_bardbowman.jpg,"Unique. +2 direct influence against the Men of Northern Rhovanian faction.  ""Their captain was Bard, grim-voiced and grim-faced, whose friends had accused him of prophesying floods and poisoned fish, though they knew his worth and courage.""-Hob  Home Site: Lake-town ",Warrior Scout,-,2.0,0.0,-,3.0,6.0,-,Lake-town ,unique,character,Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,Gong noDa Ren barudo,-,Bard Bowman (TW),-,(TW),bard bowman,Wizards/BardBowman.jpg,0.0,1.0,0.0,-,[-],-,metw_bardbowman.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW014,DONE CARD,Uncommon,U,Barliman Butterbur,Barliman Butterbur,Cebadilla Mantecona,Viljami Voivalvatti,Prosper Poiredebeurre,Gerstenmann Butterblume,Omorzo Cactaceo,barimanbataba,metw_barlimanbutterbur.jpg,"Unique. -1 to all of his corruption checks. -1 to all influence checks against factions.  ""...a short fat man with a bald head and a red face... He seemed capable of an endless stream of talk, however busy he might be.""-LotRI  Home Site: Bree ",Warrior,-,1.0,0.0,-,2.0,6.0,1.0,Bree ,unique,character,Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,barimanbataba,-,Barliman Butterbur (TW),-,(TW),barliman butterbur,Wizards/BarlimanButterbur.jpg,0.0,1.0,0.0,-,[-],-,metw_barlimanbutterbur.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
