Name	Set	Imagefile	Type	Class	Race	Skills	HomeSite	Mind	Influence	GI	Prowess	Body	Strikes	Playable	MP	SP	Magic	Specific	Corruption	Region	SitePath	Draw	OpponentDraw	Rarity	Text
A Lie in Your Eyes	AgainstShadow	ALieinYourEyes	Hazard	Short-event																				R2	Playable on an untapped non-Ringwraith, non-Wizard character. Your opponent may either; tap the character, tap an ally the character controls, or choose for you to make a roll. If the result is greater than the character's mind plus 6, the character is discarded (along with all cards he controls).
Alatar the Hunter	AgainstShadow	AlatartheHunter	Hazard	Creature/Permanent-event	Maia						13	9	2	{f}{F}	6* 									R2+U1	Unique. Maia. Manifestation of Alatar. Two strikes. Attacker chooses defending characters. Detainment and -3 prowess against hero companies. Discard this card if Alatar comes into play. May be played keyed to Free-domains and Free-holds and to Andrast, Old Pukel Gap, Anfalas, Lamedon, Belfalas or Anorien; or at sites in these regions. As a permanent-event, all Maia attacks receive +1 prowess and strike and attacker chooses defending characters. Discard when any play deck is exhausted. {green} DCE: As a creature, may be played keyed to Taur Romen, Kykurian Kyn, Reimether, Lotan, Dyr, Forruhn, Harrhun ; or at sites in these regions.
Alone and Unadvised	AgainstShadow	AloneandUnadvised	Hazard	Permanent-event															4					C3	Corruption. Playable on a non-Wizard, non-Ringwraith character in a company with 3 or fewer characters. Character makes a corruption check at the end of his movement/hazard phase for each region he moved through. All of his checks are modified by the number of characters in his company. during his organization phase, he may tap to attempt to remove this card by rolling greater than 6. Discard this card if his company has 4 or more characters. Cannot be duplicated on a given character.
Come at Need	AgainstShadow	ComeatNeed	Hazard	Permanent-event																				C2	Place one ally from your hand "off to the side" with it. The ally must be able to be attacked. If an opponent's company moves to a site where the ally is playable, it faces a single-strike attack with the attributes of the ally and +7 prowess. Attack is detainment if the ally and the company are both minion or both hero; and this card is discarded afterwards. You may return the ally to your hand and discard this card during your organization phase.
Durin's Folk	AgainstShadow	DurinsFolk	Hazard	Creature	Dwarves						8	-	5	{w}{b}	2* 									C3	Dwarves. Five strikes. Detainment and -2 prowess against hero companies. May also be played keyed to The Shire.
Dwarven Travelers	AgainstShadow	DwarvenTravelers	Hazard	Creature	Dwarves						8	-	3	{w}{b}{R}{B}	1*									C3	Dwarves. Three strikes. Detainment against hero and covert companies. May be played keyed to Wilderness, Border-lands, Ruins and Lairs and Border-holds. Maia hazard creatures may be keyed to Border-hold or Ruins and Lairs against any company that has faces Dwarven Travelers this turn.
Early Harvest	AgainstShadow	EarlyHarvest	Hazard	Short-event																				C2	Playable on a faction that is normally playable at a Border-hold. Make a roll modified by -1 if the faction is a minion faction. Return the faction to opponent's hand if the result plus the normal MPs the faction gives is greater than 12.
Enchanted Stream	AgainstShadow	EnchantedStream	Hazard	Permanent-event																				C3	Playable on a company with at least one Wilderness in its site path. A ranger in the company can tap to cancel this card. The company cannot split or move to a new site unless it taps all of its untapped characters to a maximum of two during its organization phase. Discard during any organization phase if the company is at a Haven.
Fealty Under Trial	AgainstShadow	FealtyUnderTrial	Hazard	Short-event																				C2	Playable on a minion at a Haven or Barad-dur. Make a roll, adding the MPs (as though they were stored) and CPs of all items and events played with target minion. All items and storable events played with target minion are then automatically stored. Then, if result was greater than 15, discard the minion.
FEAR! FIRE! FOES!	AgainstShadow	FEARFIREFOES	Hazard	Short-event																				C3	Playable on and Free-hold or Border-hold. An extra auto-attack is created this turn; 5 strikes at 8 (detainment). Alternatively, playable on a detainment auto-attack against a minion company. The attack becomes normal and has -1 prowess.
Full of Froth and Rage	AgainstShadow	FullofFrothandRage	Hazard	Permanent-event																				C2	All Spider and Animal attacks receive +2 prowess. Discard if a Spider or Animal attack is defeated. Cannot be duplicated.
Galadhrim	AgainstShadow	Galadhrim	Hazard	Creature	Elves						11	7	3		2*									C2	Elves. Three strikes. Detainment and -2 prowess against hero companies. Playable keyed to Lindon, Rhudaur, Wold & Foothills, or Anfalas; or at non-Haven sites in these regions. Characters wounded by an attack from Galadhrim must discard all their items. {green} DCE: Playable keyed to Lindon, Rhudaur, Wold & Foothills, Anfalas, Heb Aaraan, or Minheldolath; or at non-Haven sites in these regions.
Gandalf the White Rider	AgainstShadow	GandalftheWhiteRider	Hazard	Creature/Permanent-event	Maia						13	9	2	{f}{F}	6*									R2	Unique. Maia. Manifestation of Gandalf. Two strikes. Detainment and -3 prowess against hero companies. Discard this card if Gandalf comes into play. May be played keyed to Free-domains and Free-holds and may also be keyed to Arthedain, The Shire, Rhudaur, Lindon, Wold & Foothills, or Anfalas; or at any sites in these regions. As a permanent-event, +1 hazard limit against all overt companies. Discard when any play deck is exhausted.
Knights of the Prince	AgainstShadow	KnightsofthePrince	Hazard	Creature	Dunedain						10	8	4		3*									R2	Unique. Dunedain. Four strikes. Detainment against hero companies. Playable at Anfalas, Belfalas, Lamedon, Lebennin, or Anorien; or at any sites in these regions. All untapped characters are tapped following this attack.
Lady of the Golden Wood	AgainstShadow	LadyoftheGoldenWood	Hazard	Creature/Permanent-event	Elves						12	10	1		3*									R2	Unique. Elf. Manifestation of Galadriel. One strike. Detainment against hero companies. As a creature, may be played keyed to Wold & Foothills; or at sites in this region. As a permanent-event, all effects are automatically canceled which allow a minion player to search through or look at any portion of his play deck or discard pile outside the normal sequence of play. Discard when any play deck is exhausted.
