Name	Set	Imagefile	Type	Class	Race	Skills	HomeSite	Mind	Influence	GI	Prowess	Body	Strikes	Playable	MP	SP	Magic	Specific	Corruption	Region	SitePath	Draw	OpponentDraw	Rarity	Text
An Article Missing	DarkMinions	AnArticleMissing	Hazard	Short-event																				U2	Tap a scout agent at target company's new site. Agent may attack (not counting against hazard limit) with a +4 modification to his prowess during the movement/ hazard phase. Attacker chooses defending characters. A successful strike doesn't wound the defending character; instead the company must discard one item (defender's choice).
An Unexpected Outpost	DarkMinions	AnUnexpectedOutpost	Hazard	Short-event																				C2	Bring one hazard from your sideboard or discard pile into your play deck and shuffle. If Doors of Night is in play, you may do this twice.
Angmar Arises	DarkMinions	AngmarArises	Hazard	Permanent-event																				C2	Any creature that can be keyed to a Shadow-land may be keyed to Forochel, Arthedain, Angmar, Gundabad, or Rhudaur. Any creature that can be keyed to a Dark-domain may be keyed to Angmar or Gundabad. Discard this card when a creature keyed to one of these regions (not to the region symbol) is defeated.
Aware of their Ways	DarkMinions	AwareoftheirWays	Hazard	Short-event																				U2	Opponent reveals four cards at random from his discard pile. You may choose a non-unique one and remove it from play. Opponent discards the other three.
Bring Our Curses Home	DarkMinions	BringOurCursesHome	Hazard	Permanent-event															3					R3	Corruption. Playable on a non-Wizard character whose company is facing a hazard creature attack. Discard this card if no character is eliminated by the attack. If any character is eliminated, place creature's card with this card-creature is considered off to the side. Target character's company faces an attack from creature at the start of each movement/hazard phase if creature is playable. Discard associated creature's card if this card is discarded. Discard this card if associated creature is defeated.
Buthrakaur the Green	DarkMinions	ButhrakaurtheGreen	Hazard	Creature	Trolls						15	6	1	{S}	2									R2	Unique. Troll. 1 strike. Also playable at Moria and The Under-gates. If Doors of Night is in play, playable at any Under-deep site. Any non-unique Orc or Troll hazard creature can be played (not counting against the hazard limit) on a company that has faced Buthrakaur that turn.
Chance of Being Lost	DarkMinions	ChanceofBeingLost	Hazard	Short-event																				U2	Playable on a moving company using region movement. Make a roll (draw a #) modified by -2 for each ranger in the company. If the result is greater than 6, you may replace company's new site card with a different site from your location deck that is located in the same region or an adjacent region as the company's new site.
Chill Douser	DarkMinions	ChillDouser	Hazard	Creature	Undead						8	-	3	{R}{S}	1									U2	Undead. Three strikes. Unless Chill Douser's attack is cancelled, all Undead attacks against the company for the rest of the turn receive +1 strike and +1 prowess.
Cunning Foes	DarkMinions	CunningFoes	Hazard	Short-event																				C2	Tap a warrior agent at target company's new site. Agent attacks (not counting against hazard limit) with a +3 modification to his prowess during the movement/ hazard phase. Attacker chooses defending characters.
Doubled Vigilance	DarkMinions	DoubledVigilance	Hazard	Permanent-event																				C2	Playable on a Shadow-hold (or on a Ruins & Lairs or Border-hold if Doors of Night is in play). If the company chooses to enter the site, it must make a roll (draw a #) and subtract its company size. If the result is greater than 6, the company may enter the site as normal. Otherwise, the company must face an attack to be resolved before any automatic-attacks: Orcs - 4 strikes at 9 prowess. Discard when the site card is discarded or returned to its location deck.
Drums	DarkMinions	Drums	Hazard	Long-event																				U2	For each company at or moving to an Under-deep site, the hazard limit is increased by one and the prowess of all attacks is increased by one. All automatic-attacks at sites in the following regions have their number of strikes and prowess increased by one (by two if Doors of Night is in play): Angmar, Gap of Isen, Gorgoroth, Gundabad, High Pass, Redhorn Gate, Rohan, Southern Mirkwood, and Udun. Cannot be duplicated.
Durin's Bane	DarkMinions	DurinsBane	Hazard	Creature	Balrog						18	9	2		5									R2	Unique. Manifestation of Balrog of Moria. Balrog. 2 strikes-all body checks resulting from a successful strike are modified by +1. May be played at The Under-gates and at all of its adjacent sites. If Doors of Night is in play, Durin's Bane may be played at any Under-deep site.
Earth-tremors	DarkMinions	Earthtremors	Hazard	Long-event																				U2	Any company moving to or from an Under-deep sites faces an attack (cannot be canceled): Rock Fall - 1 strike with 7 prowess against each character (weapons do not modify prowess against these strikes). In addition, cancels the effects of Into Dark Tunnels, Old Road, Great Road, and Bridge. Cannot be duplicated.
Endless Whispers	DarkMinions	EndlessWhispers	Hazard	Permanent-event																				U2	Dark Enchantment. Playable on a non-Wizard character wounded by an Undead attack this turn; does not count against the hazard limit. Target character can never become untapped while bearing this card. Any effect that would move him to an untapped state makes him tapped instead. Cannot be duplicated on a given character. During the organization phase, a sage in target character's company may tap to attempt to remove this card. Make a roll (or draw a #): if the result is greater than 7, discard this card.
Exhalation of Decay	DarkMinions	ExhalationofDecay	Hazard	Short-event																				C2	Playable on an Undead hazard creature in your discard pile. If target Undead can attack, bring it into play as a creature that attacks immediately (not counting against the hazard limit). The attack's prowess is modified by -1.
Eyes of the Shadow	DarkMinions	EyesoftheShadow	Hazard	Permanent-event																				U2	Environment. May only be played if Gates of Morning is not in play. The hazard limit is increased by two for each moving company with a size of less than four that also contains a Wizard or a non-ranger character with a mind of 6 or more. Cannot be duplicated. Discard when any play deck is exhausted.
