Name	Set	Imagefile	Type	Class	Race	Skills	HomeSite	Mind	Influence	GI	Prowess	Body	Strikes	Playable	MP	SP	Magic	Specific	Corruption	Region	SitePath	Draw	OpponentDraw	Rarity	Text
Agburanar Ahunt	Dragons	AgburanarAhunt	Hazard	Long-event							13	8	3		4									U2	Unique. Any company moving in Withered Heath, Northern Rhovanion, Iron Hills, and/or Grey Mountain Narrows immediately faces one Dragon attack (considered a hazard creature attack) -- 3 strikes at 13/8. If Doors of Night is in play, this attack also affects: Southern Rhovanion, Dorwinion, Heart of Mirkwood, and Woodland Realm.
Agburanar at Home	Dragons	AgburanaratHome	Hazard	Permanent-event							16	9	2		4									R3	Unique. Unless Agburanar Ahunt is in play, Caves of Ulund has an additional automatic-attack: Dragon -- 2 strikes at 16/9. In addition, one unique Dragon manifestation played against each company does not count against the hazard limit.
Bairanax	Dragons	Bairanax	Hazard	Creature	Dragon						14	7	2		3									R2	Unique. Winged. May be played at Ovir Hollow. Dragon. Two strikes. Attacker chooses defending characters. If Doors of Night is in play, may also be played keyed to Withered Heath, Gundabad, Anduin Vales, and Grey Mountain Narrows; may also be played at sites in these regions.
Bairanax Ahunt	Dragons	BairanaxAhunt	Hazard	Long-event							12	6	3		3									U2	Unique. Any company moving in Withered Heath, Gundabad, Anduin Vales, and/or Grey Mountain Narrows immediately faces one Dragon attack (considered a hazard creature attack) -- 3 strikes at 12/6 (attacker chooses defending characters). If Dooors of Night is in play, this attack also affects: Northern Rhovanion, Iron Hills, Southern Rhovanion, and Angmar.
Bairanax at Home	Dragons	BairanaxatHome	Hazard	Permanent-event							15	7	2		3									R3	Unique. Unless Bairanax Ahunt is in play, Ovir Hollow has an additional automatic-attack: Dragon -- 2 strikes at 15/7. In addition, the hazard limit against any company facing one or more animal hazard creature attacks is increased by one.
Black Breath	Dragons	BlackBreath	Hazard	Permanent-event															3					R2	Corruption. Disease. Place with any wounded character in a company that just faced a Nazgul attack; the character receives 3 corruption points. Target character makes a body check during each of his organization phases. Whenever target creature would normally heal, he instead makes a roll (or draws a #): if the result is greater than 10, he heals normally and this card is removed. The roll is modified by +2 if the character is at a Haven{H} and by +2 for each sage in his company that taps in support.
Carrion Birds	Dragons	CarrionBirds	Hazard	Creature	Animals						6	-	1/each		1									C2	May be played keyed to wilderness after any Orc, Troll, or Man attack keyed to wilderness and against the same company. Animals. Each character in the company faces one strike. Any character wounded by Carrion Birds makes two body checks instead of one, both checks modified by -1.
Cave Worm	Dragons	CaveWorm	Hazard	Creature	Drake						16	-	1		1									C1	Drake. One strike. May be played keyed to Redhorn Gate, High Pass, Gap of Isen, Angmar, Gundabad, Grey Mountain Narrows, Withered Heath, Númeriador, Iron Hills, Dragon Gap, or any mountain region {m}. {green} DCE: May also be played keyed to Narthalf, Azjan, Uzek Jan, Dragon Gap.
Cruel Caradhras	Dragons	CruelCaradhras	Hazard	Short-event																				U2	Playable on a company using region movement to move through one of the following regions (and not stopping at a site therein): High Pass, Redhorn Gate, Angmar, Gundabad, Grey Mountain Narrows, or Imlad Morgul. Each character in target company must face one strike (not an attack) of 8 prowess which cannot be cancelled. Any resulting body check is modified by +1.
Daelomin Ahunt	Dragons	DaelominAhunt	Hazard	Long-event							11	7	4		4									U2	Unique. Any company moving in Withered Heath, Northern Rhovanion, Iron Hills, and/or Grey Mountain Narrows immediately faces one Dragon attack (considered a hazard creature attack) -- 4 strikes at 11/7 (attacker chooses defending characters). If Doors of Night is in play, this attack also affects: Brown Lands, Southern Rhovanion, Dorwinion, Dagorlad, and Horse Plains.
Daelomin at Home	Dragons	DaelominatHome	Hazard	Permanent-event							14	8	3		4									R3	Unique. Unless Daelomin Ahunt is in play, Dancing Spire has an additional auto-attack: Dragon -- 3 strikes at 14/8. In addition, you may discard this card from play during opponent's movement/hazard phase (not counting against the hazard limit) to increase the hazard limit against one company by two.
Deftness of Agility	Dragons	DeftnessofAgility	Hazard	Short-event																				R3	A Dragon can assign a strike (with a -3 modification to it's prowess) to a character already assigned to receive one of its strikes. Alternatively, a manifestation of Bairanax can direct such a strike with no prowess modification.
Dire Wolves	Dragons	DireWolves	Hazard	Creature	Wolves						8	-	4	{w}{w}{s}	1									C2	Wolves. Four strikes. Two Wildernesses [{w}] in site path are required.
Dragon-sickness	Dragons	Dragonsickness	Hazard	Short-event																				C2	Playable on a character bearing a major or greater item. Character makes a corruption check modified by -1.
Dragon's Blood	Dragons	DragonsBlood	Hazard	Short-event																				C2	Playable on a character facing a Dragon or Drake strike (before the dice are rolled to resolve the strike). If the strike fails, the target character must make a body check modified by -1 if he has armor, by -1 if he has a shield, and by -1 if he has a helmet. Cannot be duplicated on a given character.
Dragon's Breath	Dragons	DragonsBreath	Hazard	Short-event																				U2	Playable on an attack by a True Fire-drake, by a Winged Fire-drake, or by any manifestation of Itangast, Leucaruth, Scorba, or Smaug (must be played before strikes are assigned). Each character in the company being attacked must immediately face one strike equal to the attack's prowess. Instead or using prowess against the strike, each character uses his body modified by +1 if he has a shield, by +1 is he has a helmet, and by +3 if he taps. The target attack which follows receives +1 body and -2 prowess. Cannot be duplicates on a given attack.
Dragon's Curse	Dragons	DragonsCurse	Hazard	Permanent-event															2					C1	Corruption. Dark enchantment. Playable on a non-Wizard character facing a strike from a Dragon hazard creature attack. The strike's prowess is modified by -1. The character recieves 2 corruption points. The target character makes a corruption check at the end of his untap phase. Cannot be duplicated on a given character. During his organization phase, a sage in the target character's company may tap to attempt to remove this card. Make a roll (or draw a #): if this result is greater than 6, discard this card.
Dragon's Terror	Dragons	DragonsTerror	Hazard	Short-event																				U2	Dark enchantment. Playable on a Dragon or Drake hazard creature attack before the strikes are assigned. For each card you discard from your hand when Dragon's Terror is declared, target one non-Wizard character of your choice in the defending company and make a roll (or draw a #)--add +2 for a Dragon attack. If the result is greater than the character's mind, the character taps. Each card discarded in this fashion counts as one against the company's hazard limit.
Dunlending Raiders	Dragons	DunlendingRaiders	Hazard	Creature	Men						8	-	5		1									C1	Men. Five strikes. Playable keyed to Enedhwaith, Cardolan, Hollin, Rhudar, and Dunland; and may also be played at Ruins & Lairs [{R}] in these regions.
Earcaraxe	Dragons	Earcaraxe	Hazard	Creature	Dragon						17	7	2		4									R2	Unique. May be played at Isle of the Ulond. Dragon. Two strikes. Attacker chooses defending characters. If Doors of Night is in play, may also be played keyed to Andrast Coast, Bay of Belfalas, Eriadoran Coast, and Andrast; and may also be played at sites in these regions.
Earcaraxe Ahunt	Dragons	EarcaraxeAhunt	Hazard	Long-event							15	6	3		4									U2	Unique. Any company moving in Andrast Coast, Bay of Belfalas, Eriadoran Coast, and/or Andrast immediately faces one Dragon attack (considered a hazard creature attack) -- 3 strikes at 15/6 (attacker chooses defending characters). If Doors of Night is in play, this attack also affects: Old Pukel-land, Enedhwaith, Anfalas, and any Coastal Sea [{c}] region (or region type).
Earcaraxe at Home	Dragons	EarcaraxeatHome	Hazard	Permanent-event							18	7	2		4									R3	Unique. Unless Earcaraxe Ahunt is in play, Isle of the Ulond has an additional automatic-attack: Dragon -- 2 strikes at 18/7 (attacker chooses defending characters), In addition, the hazard limit against any moving company with a Coastal Sea [{c}] region in its site path is increased by one.
Exile of Solitude	Dragons	ExileofSolitude	Hazard	Short-event																				R3	One strike of an at home manifestation of any unique Dragon can attempt to capture a non-Wizard character. This strike's prowess is modified by -1. If this strike is successful, it forces the discard of the character (with no body check) and all cards he controls. Alternatively, all strikes of Earcaraxe at Home attempt to capture all non-Wizard characters defending against her strikes.
Fever of Unrest	Dragons	FeverofUnrest	Hazard	Short-event																				R3	A Dragon hazard creature can attack a company with four Wildernesses [{w}] in its site path. Alternatively, Leucaruth can attack a company with three Wildernesses [{w}] in her site path.
Foolish Words	Dragons	FoolishWords	Hazard	Permanent-event																				C2	Any riddling roll, offering attempt, or influence attempt by the target character is modified by -4. If placed on-guard, it may be revealed and played when a character in the company declares a riddling, offering, or influence attempt. During his organization phase, a character with this card may tap to attempt to remove it. Make a roll (or draw a #): if this result is greater than 7, discard this card. Cannot be duplicated on a given character.
Frenzy of Madness	Dragons	FrenzyofMadness	Hazard	Short-event																				R3	Playable on a Shadow-hold [{S}] not in Gorgoroth, Nurn, Udun, or Imlad Morgul. If you discard (from your hand) a hazard creature playable at the site, one Dragon hazard creature may be played this turn keyed to the site. Alternatively, Daelomin may be played at the site this turn (without discarding a creature).
From the Pits of Angband	Dragons	FromthePitsofAngband	Hazard	Long-event																				U2	At the end of each turn, each player may take one unique Dragon manifestation or one Drake hazard creature from his discard pile and shuffle it into his play deck. Alternatively, if Doors of Night is in play, at the end of each turn, each player may return one unique Dragon manifestation and/or one Drake hazard creature from his discard pile to his hand. Cannot be duplicated.
Gothmog	Dragons	Gothmog	Hazard	Creature	Trolls						14	9	1	{d}{D}	3									R2	Unique. Troll. One strike. May also be played following an Orc or Troll attack in a Shadow-land [{s}] or Shadow-hold [{S}].
Half an Eye Open	Dragons	HalfanEyeOpen	Hazard	Short-event																				C1	Playable on a Dragon or Drake attack (before the strikes are assigned). Attacker may choose defending non-Wizard character to face the first strike assigned from the attack. Alternatively, it may be revealed as an on-guard card when a burglary attempt is announced -- this attempt is modified by -5.
Hobgoblins	Dragons	Hobgoblins	Hazard	Creature	Orcs						10	-	2	{w}{w}	1									C2	Orcs. Two strikes. Two Wildernesses [{w}] in site path are required.
Host of Bats	Dragons	HostofBats	Hazard	Long-event																				U2	Against each company, one Orc hazard creature may be played that does not count towards the hazard limit. Any character wounded by an Orc attack makes an additional body check modified by -1. Additionally, if Shadow of Mordor is in play, any character wounded by an attack keyed to (or an automatic-attack at) a Shadow-hold [{S}] or a Dark-hold [{D}] makes an additional body check modified by -2. Cannot be duplicated.
Ice-drake	Dragons	Icedrake	Hazard	Creature	Drake						15	-	2		1									C1	Drake. Two strikes. May be played keyed to Elven Shores, Forochel, Angmar, Gundabad, Grey Mountain Narrows, and Withered Heath. {green} DCE: Two strikes. May be played keyed to any region in the Northern Waste and Elven Shores.
