Name	Set	Imagefile	Type	Class	Race	Skills	HomeSite	Mind	Influence	GI	Prowess	Body	Strikes	Playable	MP	SP	Magic	Specific	Corruption	Region	SitePath	Draw	OpponentDraw	Rarity	Text
Alatar *	WhiteHand	Alatar2	Fallen-wizard Character		Fallen-wizard	Warrior/Scout/Ranger/Sage	Any non-&quot;Dragon's lair&quot; Ruins and Lairs in a Wilderness		10	17	7	9						Alatar						C4	Unique. Hazards your companies defeat (even with *) are worth full kill marshalling points. If you have more than 7 stage points, all detainment attacks against your companies attack normally instead. If at one of his Wizardhavens when a hazard creature attacks one of your companies, he may immediately join that company. Alatar must face a strike from the creature (in all cases). Following all of the creature's attacks, Alatar must tap (if untapped) and make a corruption check.
Gandalf *	WhiteHand	Gandalf2	Fallen-wizard Character		Fallen-wizard	Warrior/Scout/Sage/Diplomat	Any Free-hold		9	18	6	9						Gandalf						C4	Unique. Can use spirit-magic. May untap at the end of your organization phase. Your characters and hero allies are each worth full marshalling points. Gandalf may tap to &quot;test&quot; a ring in his company.
Pallando *	WhiteHand	Pallando2	Fallen-wizard Character		Fallen-wizard	Warrior/Ranger/Sage/Diplomat	The White Towers		7	20	5	9						Pallando						C4	Unique. Can use spirit-magic. Your Man, Dwarf, Elf, Dunadan, Hobbit, Orc, and Troll factions are each worth 2 marshalling points. You may keep one more card than normal in your hand.
Radagast *	WhiteHand	Radagast2	Fallen-wizard Character		Fallen-wizard	Warrior/Scout/Ranger/Diplomat	Rhosgobel		5	22	6	9						Radagast						C4	Unique. Your unique factions that are neither Man, Dwarf, Dunadan, Hobbit, Orc, nor Troll are each worth 2 marshalling points. Your hero allies each are worth full marshalling points. Hero allies Radagast controls have no movement restrictions. When Radagast's new site is revealed, he may draw one additional card for each Wilderness in his company's site path.
Saruman *	WhiteHand	Saruman2	Fallen-wizard Character		Fallen-wizard	Scout/Ranger/Sage/Diplomat	Isengard		12	15	6	9						Saruman						C4	Unique. Can use sorcery. Your non-weapon/ non-armor/non-shield/non-helmet items are each worth full marshalling points. May tap to use a Palantír he bears. -1 to all corruption checks. At the beginning of your end-of-turn phase, you may tap Saruman to take one spell or sorcery card from your discard pile to your hand.
Deep Mines	WhiteHand	DeepMines	Fallen-wizard Site	{R}												3				Under-deeps		1	2	C3	A company may move to this site only from one of your protected Wizardhavens and only if you have more than 6 stage points. The protected Wizardhaven is the surface site for Deep Mines (i.e., the sites are adjacent and the movement roll required to move between them is 0). You receive the three stage points if any of your companies are at the site. May be duplicated in location deck. Cannot be duplicated on a given Wizardhaven.
Isengard (FW)	WhiteHand	Isengard3	Fallen-wizard Site	{H}																Gap of Isen		2	2	C3	Special: If one of your companies is at this site, all attacks against it are canceled.
Rhosgobel (FW)	WhiteHand	Rhosgobel3	Fallen-wizard Site	{H}												1				Southern Mirkwood		2	2	C3	Special: Only Radagast's companies may use this card. This site is a protected Wizardhaven. If one of your companies is at this site, all attacks against it are canceled. Special: You receive the stage point if any of your companies are at this site.
The White Towers (FW)	WhiteHand	TheWhiteTowers3	Fallen-wizard Site	{H}																Arthedain		2	2	C4	Special: If one of your companies is at this site, all attacks against it are canceled.
Blind to the West	WhiteHand	BlindtotheWest	Hazard	Short-event																				C4	Targets and cancels one hero short-event played by a Fallen-wizard earlier in the same chain of effects. This card can be played at any time and does not count against the hazard limit. Remove this card from the game.
Cast from the Order	WhiteHand	CastfromtheOrder	Hazard	Permanent-event																				R2	Playable on a Fallen-wizard. Make a roll and add the Fallen-wizard's stage points. If the result is less than 16, discard this card. Otherwise, place this card with the Fallen- wizard. The Fallen-wizard's player must use minion sites for Border-holds, Free-holds, and hero Havens. Also, the Fallen-wizard's company is overt. Does not affect a lord-player
