Name	Set	Imagefile	Type	Class	Race	Skills	HomeSite	Mind	Influence	GI	Prowess	Body	Strikes	Playable	MP	SP	Magic	Specific	Corruption	Region	SitePath	Draw	OpponentDraw	Rarity	Text
Abductor	Wizards	Abductor	Hazard	Creature	Men						10	-	1	{b}{B}	1									CA	Men. One Strike. Each non-Wizard defending character wounded by the Abductor is discarded.
Adunaphel	Wizards	Adunaphel	Hazard	Creature/Permanent-event	Nazgul						15	10	1	{d}{D}	5									R	"Unique. Nazgul (7th). May be played as a hazard creature (with one strike) or as a permanent-event. As a creature, may also be played keyed to Brown Lands, Dagorlad, Gorgoroth, and Western Mirkwood; and may also be played at sites in these regions. If played as a permanent-event, it will remain in play until tapped during the opponent's movement/hazard phase (tapping counts against the hazard limit). When tapped, Adunaphel becomes a short-event and causes any one character to tap. {green} DCE: As a creature, may also be played keyed to Hyarmenfalas, Nurn, Dagorlad, and Gorgoroth;"
Agburanar	Wizards	Agburanar	Hazard	Creature	Dragon						15	9	2		4									R	"Unique. May be played at Caves of ulund. Dragon. Two strikes. If Doors of Night is in play, may also be played keyed to Grey Mountain Narrows, Iron Hills, Northern Rhovanion, and Withered Heath; and may also be played at sites in these regions."
Akhorahil	Wizards	Akhorahil	Hazard	Creature/Permanent-event	Nazgul						16	9	1	{d}{D}	5									R	"Unique. Nazgul (5th). May be played as a hazard creature (with one strike) or as a permanent-event. As a creature, may also be played keyed to Harondor, Horse Plains, Gorgoroth, and Khand; and may also be played at sites in those regions. If played as a permanent-event, it will remain in play until tapped during the opponent's movement/hazard phase (tapping counts against the hazard limit). When tapped, Akhorahil becomes a short-event and modifies any one character's body by -1 for the rest of this turn. {green} DCE: As a creature, may also be played keyed to Harondor, Ithilien, Far Harad, and Gorgoroth"
Ambusher	Wizards	Ambusher	Hazard	Creature	Men						10	-	2	{f}{b}	1									CA	Men. Two strikes. Attacker chooses defending characters.
Arouse Denizens	Wizards	ArouseDenizens	Hazard	Short-event																				CA2	The prowess of one automatic-attack at a Ruins & Lairs [{R}] site is increased by 3 until the end of the turn. Cannot be duplicated at a given site.
Arouse Minions	Wizards	ArouseMinions	Hazard	Short-event																				CA2	The prowess of one automatic-attack at a Shadow-hold [{S}] or Dark-hold [{D}] site is increased by 3 until the end of the turn. Cannot be duplicated at a given site.
Assassin	Wizards	Assassin	Hazard	Creature	Men						11	-	1	{B}{F}	2									R	Men. Three attacks (of one strike each) all against the same character. Attacker chooses defending character. One or two of these attacks may be canceled by tapping one character (not the defending character) in the defender's company for each attack canceled.
Awaken Denizens	Wizards	AwakenDenizens	Hazard	Long-event																				CA2	The number of strikes for each automatic-attack at a Ruins & Lairs [{R}] site is doubled. Cannot be duplicated.
Awaken Minions	Wizards	AwakenMinions	Hazard	Long-event																				CA2	The number of strikes for each automatic-attack at a Shadow-hold [{S}] site or at a Dark-hold [{D}] site is doubled. Cannot be duplicated.
Awaken the Earth's Fire	Wizards	AwakentheEarthsFire	Hazard	Short-event																				U	"Environment. Modify the prowess of one auto-attack at a Shadow-hold [{S}] or Dark-hold [{D}] site by +2. Alternatively, if Doors of Night is in play, treat one Shadow-land [{s}] as a Dark-domain [{d}] until end of the turn. Cannot be duplicated."
