Set,name,graphics,text,type,rarity,unique,prowess,body,mind,influence,mp,home_site,skills,race,class,cp,back,sp,specific,strikes,subclass,site_type,site_path,draw,draw_opp,region,haven,playable,auto_attack,special
nec,Bain,Bain.jpg,"Unique. +1 prowess against Orcs, Dragons, and Drakes. +1 EI against Men with a home site in Northern Rhovanion. +1 EI against Dwarves.",Hero Character,R,yes,4,8,4,1,1,Dale,Warrior/Ranger,Man,,,,,,,,,,,,,,,,
nec,Daelomin the Ghost-Wing,Daelomin the Ghost-Wing.jpg,"Unique. Manifestation of Daelomin. Female. Winged. Cold-dragon. Can use sorcery. +2 EI against male characters. +4 to her rolls for flattery and offering attempts. If no other characters or allies are in her company, her company’s normal hazard limit is two. tap: if at a Dragon’s Den [K] to cancel an effect that would raise the hazard limit for one of your companies.",Stage Resource,C,yes,7,8,8,6,,Dancing Spire,,,,,,,,,,,,,,,,,,
nec,Dragon's Disciple,Dragon's Disciple.jpg,"Dragon-lord only. Can use spirit-magic. +2 EI against Men. Is considered a Dragon-lord for the purpose of playing and interpreting Wielder of Old Arts; to play this card on Dragon’s Deciple, he must be in a company with your Dragon-lord and your Dragon-lord must tap. Cannot be duplicated by a given player.",Minion Character,U,,5/8,,5,1,2,any Dragon’s Den,Warrior/Diplomat,Man,,,,,,,,,,,,,,,,
nec,Durlog,Durlog.jpg,Unique. Dragon-lord only. Leader. Discard on a body check result of 8. +2 EI against Orcs. Orcs and Trolls in his company may store any trophies they control during the end-of-turn phase at one of your Dragon’s Dens [K].,Minion Character,R,yes,5,8,5,1,2,any Dragon's Den,Warrior/Ranger,Orc,,,,,,,,,,,,,,,,
nec,Eärcaraxë the Sea-fang,Eärcaraxë the Sea-fang.jpg,"Unique. Manifestation of Eärcaraxë. Female. Cold-dragon. May normally move two Coastal Sea [c] regions. -2 prowess while not at or moving to a site in a Coastal Sea region. +2 to her rolls to bring/keep characters and allies into play. +4 to her rolls for offering and flattery attempts. -3 to your influence attempts against manifestations of Canadras, Gondring, and Scorba.",Stage Resource,C,yes,10,8,9,7,,Isle of the Ulond,,,,,,,,,,,,,,,,,,
nec,Eodoric,Eodoric.jpg,Unique. +1 prowess against Animals and Wolves. tap: during your organization phase at a site in Northern Rhovanion to force an opponent to reveal three cards at random from his hand.,Hero Character,C,yes,2,7,2,0,,any Border-hold in Northern Rhovanion,Scout/Ranger,Man,,,,,,,,,,,,,,,,
nec,Fram Wyrmslayer,Fram Wyrmslayer.jpg,"Unique. Grey agent. Manifestation of Fram Framson. +3 prowess against Dragons and Drakes. May not be among the starting characters. Agent only: tap: during the movement/hazard phase at a site where an opponent’s Dragon faction is in play, to face the associated Dragon attack; any resulting body checks after the attack are modified by +1. If the attack is defeated, place the faction in the out of play pile. If Fram is eliminated, opponent receives him as kill mp.",Hero Resource,R,yes,5,8,5,0,2,Framsburg,,,Warrior/Ranger Man,,,,,,,,,,,,,,,
nec,Grashûkh,Grashûkh.jpg,Unique. Uruk-hai. Leader. Discard on a body check result of 8. +2 prowess against Dragons and Drakes. +2 EI against Orcs. May not be in a company with a Dragon. tap: during the organization phase to allow his company to move through a mountain region (and not stop at a site therein).,Minion Character,C,yes,6,8,6,0,2,"Deep Cleft, Mount Gundabad",Warrior/Ranger,Orc,,,,,,,,,,,,,,,,
nec,Grim-faced Northman,Grim-faced Northman.jpg,"Dragon-lord only. tap: during the site phase, if at one of his home sites, to take one character, ally, or faction playable there from your discard pile or play deck (reshuffle) to your hand.",Minion Character,C,,3,7,3,0,1,any site in Northern or Southern Rhovanion,Warrior/Ranger,Man,,,,,,,,,,,,,,,,
nec,Grimbeorn the Old,Grimbeorn the Old.jpg,Unique. +2 prowess against Orcs. +2 EI against the Beornings faction. Grimbeorn is considered Beorn for the purpose of playing and interpreting Skin-changer. Discard if you have Bad Company in play.,Hero Character,R,yes,6,8,6,1,2,Beorn's House,Warrior/Ranger,Man,,,,,,,,,,,,,,,,
